Escalator,Station,Escalator Description,Maker,CM/Proj/PM Repair Downtime (Days),PMDowntimeDays,TotalDowntimeDays
M40-S5,Civic,"Escalator, HD, O&K (POS 101), M40-S5",O&K,332.0,10.5,342.5
M40-S3,Civic,"Escalator, 48N, WEST (POS 201), M40-S3",WEST,294.6,39.5,334.1
M20-S1,Montgomery,"Escalator, 48N, WEST (POS 102), M20-S1",WEST,276.8,36.5,313.3
M50-S2,16th,"Escalator, HD, O&K (POS 201), M50-S2",O&K,293.9,19.0,312.9
M30-S2,Powell,"Escalator, HD, O&K (POS 201), M30-S2",O&K,239.6,31.5,271.1
M60-S3,24th,"Escalator, HD, O&K (POS 101), M60-S3",O&K,239.4,12.0,251.4
M90-P4,Daly City,"Escalator, 5E, MONT (POS 207), M90-P4",MONT,215.2,28.5,243.7
M40-S2,Civic,"Escalator, HD, O&K (POS 201), M40-S2",O&K,168.4,40.0,208.4
W40-P1,Millbrae,"Escalator, 120, FUJI (POS 204), W40-P1",FUJI,142.0,60.5,202.5
M16-S1,Embarcadero,"Escalator, HD, O&K (POS 102), M16-S1",O&K,142.3,55.5,197.8
L30-P1,Dublin/Pleas,"Escalator, 120, FUJI (POS 208), L30-P1",FUJI,123.2,71.5,194.7
M70-P1,Glen Park,"Escalator, 5E, MONT (POS 207), M70-P1",MONT,118.0,51.0,169.0
M30-S6,Powell,"Escalator, 48N, WEST (POS 101), M30-S6",WEST,123.8,45.0,168.8
M40-P4,Civic,"Escalator, 38E, WEST (POS 303), M40-P4",WEST,99.2,68.5,167.7
M16-S2,Embarcadero,"Escalator, HD, O&K (POS 102), M16-S2",O&K,111.2,55.0,166.2
K10-P8,12th St.,"Escalator, 38E, WEST (POS 305), K10-P8",WEST,91.8,65.5,157.3
W40-P3,Millbrae,"Escalator, 120, FUJI (POS 204), W40-P3",FUJI,87.6,67.3,155.0
M80-P2,Balboa Park,"Escalator, 120, FUJI (POS 207), M80-P2",FUJI,101.1,50.5,151.6
C60-P2,Concord,"Escalator, 48N, WEST (POS-108), C60-P2",WEST,65.2,83.5,148.7
M30-S8,Powell,"Escalator, HD, O&K (POS 101), M30-S8",O&K,107.1,40.0,147.1
K20-S3,19th,"Escalator, 48N, WEST (POS-110), K20-S3",WEST,72.3,72.5,144.8
M20-S8,Montgomery,"Escalator, 48N, WEST (POS 201), M20-S8",WEST,90.1,54.5,144.6
